"name","iso","year","estimate","rounded","indicator","value"
"Caucasus and Central Asia",NA,1985,"lower bound (80% UI)",FALSE,"matdeaths",1559.85352538906
"Caribbean",NA,1985,"lower bound (80% UI)",FALSE,"matdeaths",2104.2803632182
"Western Asia",NA,1985,"lower bound (80% UI)",FALSE,"matdeaths",6514.90556005655
"South-eastern Asia",NA,1985,"lower bound (80% UI)",FALSE,"matdeaths",44581.3943422661
"Eastern Asia",NA,1985,"lower bound (80% UI)",FALSE,"matdeaths",25582.461666378
"Oceania",NA,1985,"lower bound (80% UI)",FALSE,"matdeaths",486.500252454402
"World",NA,1985,"lower bound (80% UI)",TRUE,"matdeaths",542000
"Southern Asia",NA,1985,"lower bound (80% UI)",TRUE,"matdeaths",199000
"Other",NA,1985,"lower bound (80% UI)",TRUE,"matdeaths",4900
"Northern Africa",NA,1985,"lower bound (80% UI)",TRUE,"matdeaths",7400
"Sub-Saharan Africa",NA,1985,"lower bound (80% UI)",TRUE,"matdeaths",195000
"Latin America",NA,1985,"lower bound (80% UI)",TRUE,"matdeaths",16000
"Caucasus and Central Asia",NA,1985,"lower bound (80% UI)",TRUE,"matdeaths",1600
"Caribbean",NA,1985,"lower bound (80% UI)",TRUE,"matdeaths",2100
"Western Asia",NA,1985,"lower bound (80% UI)",TRUE,"matdeaths",6500
"South-eastern Asia",NA,1985,"lower bound (80% UI)",TRUE,"matdeaths",45000
"Eastern Asia",NA,1985,"lower bound (80% UI)",TRUE,"matdeaths",26000
"Oceania",NA,1985,"lower bound (80% UI)",TRUE,"matdeaths",490
"World",NA,1985,"lower bound (80% UI)",FALSE,"ltr_1per",64.5185050446986
"Southern Asia",NA,1985,"lower bound (80% UI)",FALSE,"ltr_1per",37.360323366527
"Other",NA,1985,"lower bound (80% UI)",FALSE,"ltr_1per",1683.5561849835
"Northern Africa",NA,1985,"lower bound (80% UI)",FALSE,"ltr_1per",95.8154775169441
"Sub-Saharan Africa",NA,1985,"lower bound (80% UI)",FALSE,"ltr_1per",16.0319602130046
"Latin America",NA,1985,"lower bound (80% UI)",FALSE,"ltr_1per",173.038919339927
"Caucasus and Central Asia",NA,1985,"lower bound (80% UI)",FALSE,"ltr_1per",282.333198514376
"Caribbean",NA,1985,"lower bound (80% UI)",FALSE,"ltr_1per",108.43427658433
"Western Asia",NA,1985,"lower bound (80% UI)",FALSE,"ltr_1per",113.2132980744
"South-eastern Asia",NA,1985,"lower bound (80% UI)",FALSE,"ltr_1per",65.9243339123976
"Eastern Asia",NA,1985,"lower bound (80% UI)",FALSE,"ltr_1per",334.602142499662
"Oceania",NA,1985,"lower bound (80% UI)",FALSE,"ltr_1per",75.1250992514659
"World",NA,1985,"lower bound (80% UI)",TRUE,"ltr_1per",65
"Southern Asia",NA,1985,"lower bound (80% UI)",TRUE,"ltr_1per",37
"Other",NA,1985,"lower bound (80% UI)",TRUE,"ltr_1per",1700
"Northern Africa",NA,1985,"lower bound (80% UI)",TRUE,"ltr_1per",96
"Sub-Saharan Africa",NA,1985,"lower bound (80% UI)",TRUE,"ltr_1per",16
"Latin America",NA,1985,"lower bound (80% UI)",TRUE,"ltr_1per",170
"Caucasus and Central Asia",NA,1985,"lower bound (80% UI)",TRUE,"ltr_1per",280
"Caribbean",NA,1985,"lower bound (80% UI)",TRUE,"ltr_1per",110
"Western Asia",NA,1985,"lower bound (80% UI)",TRUE,"ltr_1per",110
"South-eastern Asia",NA,1985,"lower bound (80% UI)",TRUE,"ltr_1per",66
"Eastern Asia",NA,1985,"lower bound (80% UI)",TRUE,"ltr_1per",330
"Oceania",NA,1985,"lower bound (80% UI)",TRUE,"ltr_1per",75
"World",NA,1986,"lower bound (80% UI)",FALSE,"mmr",391.354104764289
"Southern Asia",NA,1986,"lower bound (80% UI)",FALSE,"mmr",506.703916197522
"Other",NA,1986,"lower bound (80% UI)",FALSE,"mmr",27.8981776742014
"Northern Africa",NA,1986,"lower bound (80% UI)",FALSE,"mmr",178.513189581239
"Sub-Saharan Africa",NA,1986,"lower bound (80% UI)",FALSE,"mmr",949.182213166995
"Latin America",NA,1986,"lower bound (80% UI)",FALSE,"mmr",134.238367643555
"Caucasus and Central Asia",NA,1986,"lower bound (80% UI)",FALSE,"mmr",79.7311510450085
"Caribbean",NA,1986,"lower bound (80% UI)",FALSE,"mmr",243.533860106229
"Western Asia",NA,1986,"lower bound (80% UI)",FALSE,"mmr",152.254932469815
"South-eastern Asia",NA,1986,"lower bound (80% UI)",FALSE,"mmr",349.444696060921
"Eastern Asia",NA,1986,"lower bound (80% UI)",FALSE,"mmr",92.771322830561
"Oceania",NA,1986,"lower bound (80% UI)",FALSE,"mmr",261.731573464885
"World",NA,1986,"lower bound (80% UI)",TRUE,"mmr",391
"Southern Asia",NA,1986,"lower bound (80% UI)",TRUE,"mmr",507
"Other",NA,1986,"lower bound (80% UI)",TRUE,"mmr",28
"Northern Africa",NA,1986,"lower bound (80% UI)",TRUE,"mmr",179
"Sub-Saharan Africa",NA,1986,"lower bound (80% UI)",TRUE,"mmr",949
"Latin America",NA,1986,"lower bound (80% UI)",TRUE,"mmr",134
"Caucasus and Central Asia",NA,1986,"lower bound (80% UI)",TRUE,"mmr",80
"Caribbean",NA,1986,"lower bound (80% UI)",TRUE,"mmr",244
"Western Asia",NA,1986,"lower bound (80% UI)",TRUE,"mmr",152
"South-eastern Asia",NA,1986,"lower bound (80% UI)",TRUE,"mmr",349
"Eastern Asia",NA,1986,"lower bound (80% UI)",TRUE,"mmr",93
"Oceania",NA,1986,"lower bound (80% UI)",TRUE,"mmr",262
"World",NA,1986,"lower bound (80% UI)",FALSE,"matdeaths",534816.308961759
"Southern Asia",NA,1986,"lower bound (80% UI)",FALSE,"matdeaths",195311.456677133
"Other",NA,1986,"lower bound (80% UI)",FALSE,"matdeaths",4432.75400483381
"Northern Africa",NA,1986,"lower bound (80% UI)",FALSE,"matdeaths",6972.86978072674
"Sub-Saharan Africa",NA,1986,"lower bound (80% UI)",FALSE,"matdeaths",196722.33245793
"Latin America",NA,1986,"lower bound (80% UI)",FALSE,"matdeaths",14910.9012110536
"Caucasus and Central Asia",NA,1986,"lower bound (80% UI)",FALSE,"matdeaths",1512.88902334091
"Caribbean",NA,1986,"lower bound (80% UI)",FALSE,"matdeaths",2025.06684829573
"Western Asia",NA,1986,"lower bound (80% UI)",FALSE,"matdeaths",6220.86552693686
"South-eastern Asia",NA,1986,"lower bound (80% UI)",FALSE,"matdeaths",42373.7616888622
"Eastern Asia",NA,1986,"lower bound (80% UI)",FALSE,"matdeaths",25377.3318897431
"Oceania",NA,1986,"lower bound (80% UI)",FALSE,"matdeaths",493.295965772207
"World",NA,1986,"lower bound (80% UI)",TRUE,"matdeaths",535000
"Southern Asia",NA,1986,"lower bound (80% UI)",TRUE,"matdeaths",195000
"Other",NA,1986,"lower bound (80% UI)",TRUE,"matdeaths",4400
"Northern Africa",NA,1986,"lower bound (80% UI)",TRUE,"matdeaths",7000
"Sub-Saharan Africa",NA,1986,"lower bound (80% UI)",TRUE,"matdeaths",197000
"Latin America",NA,1986,"lower bound (80% UI)",TRUE,"matdeaths",15000
"Caucasus and Central Asia",NA,1986,"lower bound (80% UI)",TRUE,"matdeaths",1500
"Caribbean",NA,1986,"lower bound (80% UI)",TRUE,"matdeaths",2000
"Western Asia",NA,1986,"lower bound (80% UI)",TRUE,"matdeaths",6200
"South-eastern Asia",NA,1986,"lower bound (80% UI)",TRUE,"matdeaths",42000
"Eastern Asia",NA,1986,"lower bound (80% UI)",TRUE,"matdeaths",25000
"Oceania",NA,1986,"lower bound (80% UI)",TRUE,"matdeaths",490
"World",NA,1986,"lower bound (80% UI)",FALSE,"ltr_1per",66.79515163822
"Southern Asia",NA,1986,"lower bound (80% UI)",FALSE,"ltr_1per",39.0056390324599
"Other",NA,1986,"lower bound (80% UI)",FALSE,"ltr_1per",1852.27035376908
"Northern Africa",NA,1986,"lower bound (80% UI)",FALSE,"ltr_1per",104.156486115672
"Sub-Saharan Africa",NA,1986,"lower bound (80% UI)",FALSE,"ltr_1per",16.2944067345169
"Latin America",NA,1986,"lower bound (80% UI)",FALSE,"ltr_1per",185.030851472645
"Caucasus and Central Asia",NA,1986,"lower bound (80% UI)",FALSE,"ltr_1per",295.305684636012
"Caribbean",NA,1986,"lower bound (80% UI)",FALSE,"ltr_1per",114.566682054349
"Western Asia",NA,1986,"lower bound (80% UI)",FALSE,"ltr_1per",122.04271809608
"South-eastern Asia",NA,1986,"lower bound (80% UI)",FALSE,"ltr_1per",71.1700975508901
"Eastern Asia",NA,1986,"lower bound (80% UI)",FALSE,"ltr_1per",346.467239140274
"Oceania",NA,1986,"lower bound (80% UI)",FALSE,"ltr_1per",76.1446895149798
"World",NA,1986,"lower bound (80% UI)",TRUE,"ltr_1per",67
"Southern Asia",NA,1986,"lower bound (80% UI)",TRUE,"ltr_1per",39
"Other",NA,1986,"lower bound (80% UI)",TRUE,"ltr_1per",1900
"Northern Africa",NA,1986,"lower bound (80% UI)",TRUE,"ltr_1per",100
"Sub-Saharan Africa",NA,1986,"lower bound (80% UI)",TRUE,"ltr_1per",16
"Latin America",NA,1986,"lower bound (80% UI)",TRUE,"ltr_1per",190
"Caucasus and Central Asia",NA,1986,"lower bound (80% UI)",TRUE,"ltr_1per",300
"Caribbean",NA,1986,"lower bound (80% UI)",TRUE,"ltr_1per",110
"Western Asia",NA,1986,"lower bound (80% UI)",TRUE,"ltr_1per",120
"South-eastern Asia",NA,1986,"lower bound (80% UI)",TRUE,"ltr_1per",71
"Eastern Asia",NA,1986,"lower bound (80% UI)",TRUE,"ltr_1per",350
"Oceania",NA,1986,"lower bound (80% UI)",TRUE,"ltr_1per",76
"World",NA,1987,"lower bound (80% UI)",FALSE,"mmr",381.137112416513
"Southern Asia",NA,1987,"lower bound (80% UI)",FALSE,"mmr",492.876186081876
"Other",NA,1987,"lower bound (80% UI)",FALSE,"mmr",26.4111817665274
"Northern Africa",NA,1987,"lower bound (80% UI)",FALSE,"mmr",168.205920589028
"Sub-Saharan Africa",NA,1987,"lower bound (80% UI)",FALSE,"mmr",938.053048350555
"Latin America",NA,1987,"lower bound (80% UI)",FALSE,"mmr",129.331774927993
"Caucasus and Central Asia",NA,1987,"lower bound (80% UI)",FALSE,"mmr",76.1135661660018
"Caribbean",NA,1987,"lower bound (80% UI)",FALSE,"mmr",239.420302616778
"Western Asia",NA,1987,"lower bound (80% UI)",FALSE,"mmr",145.054308789998
"South-eastern Asia",NA,1987,"lower bound (80% UI)",FALSE,"mmr",331.045218241951
"Eastern Asia",NA,1987,"lower bound (80% UI)",FALSE,"mmr",89.2787617792345
"Oceania",NA,1987,"lower bound (80% UI)",FALSE,"mmr",259.87108274766
"World",NA,1987,"lower bound (80% UI)",TRUE,"mmr",381
"Southern Asia",NA,1987,"lower bound (80% UI)",TRUE,"mmr",493
"Other",NA,1987,"lower bound (80% UI)",TRUE,"mmr",26
"Northern Africa",NA,1987,"lower bound (80% UI)",TRUE,"mmr",168
"Sub-Saharan Africa",NA,1987,"lower bound (80% UI)",TRUE,"mmr",938
"Latin America",NA,1987,"lower bound (80% UI)",TRUE,"mmr",129
"Caucasus and Central Asia",NA,1987,"lower bound (80% UI)",TRUE,"mmr",76
"Caribbean",NA,1987,"lower bound (80% UI)",TRUE,"mmr",239
"Western Asia",NA,1987,"lower bound (80% UI)",TRUE,"mmr",145
"South-eastern Asia",NA,1987,"lower bound (80% UI)",TRUE,"mmr",331
"Eastern Asia",NA,1987,"lower bound (80% UI)",TRUE,"mmr",89
"Oceania",NA,1987,"lower bound (80% UI)",TRUE,"mmr",260
"World",NA,1987,"lower bound (80% UI)",FALSE,"matdeaths",525692.231361082
"Southern Asia",NA,1987,"lower bound (80% UI)",FALSE,"matdeaths",191093.060607137
"Other",NA,1987,"lower bound (80% UI)",FALSE,"matdeaths",4166.66184180002
"Northern Africa",NA,1987,"lower bound (80% UI)",FALSE,"matdeaths",6555.78538553641
"Sub-Saharan Africa",NA,1987,"lower bound (80% UI)",FALSE,"matdeaths",198766.40554762
"Latin America",NA,1987,"lower bound (80% UI)",FALSE,"matdeaths",14352.8097066982
"Caucasus and Central Asia",NA,1987,"lower bound (80% UI)",FALSE,"matdeaths",1464.54679473974
"Caribbean",NA,1987,"lower bound (80% UI)",FALSE,"matdeaths",1993.09979899086
"Western Asia",NA,1987,"lower bound (80% UI)",FALSE,"matdeaths",5967.59808751638
"South-eastern Asia",NA,1987,"lower bound (80% UI)",FALSE,"matdeaths",40125.3983321662
"Eastern Asia",NA,1987,"lower bound (80% UI)",FALSE,"matdeaths",25010.2693111599
"Oceania",NA,1987,"lower bound (80% UI)",FALSE,"matdeaths",495.371455355245
"World",NA,1987,"lower bound (80% UI)",TRUE,"matdeaths",526000
"Southern Asia",NA,1987,"lower bound (80% UI)",TRUE,"matdeaths",191000
"Other",NA,1987,"lower bound (80% UI)",TRUE,"matdeaths",4200
"Northern Africa",NA,1987,"lower bound (80% UI)",TRUE,"matdeaths",6600
"Sub-Saharan Africa",NA,1987,"lower bound (80% UI)",TRUE,"matdeaths",199000
"Latin America",NA,1987,"lower bound (80% UI)",TRUE,"matdeaths",14000
"Caucasus and Central Asia",NA,1987,"lower bound (80% UI)",TRUE,"matdeaths",1500
"Caribbean",NA,1987,"lower bound (80% UI)",TRUE,"matdeaths",2000
"Western Asia",NA,1987,"lower bound (80% UI)",TRUE,"matdeaths",6000
"South-eastern Asia",NA,1987,"lower bound (80% UI)",TRUE,"matdeaths",40000
"Eastern Asia",NA,1987,"lower bound (80% UI)",TRUE,"matdeaths",25000
"Oceania",NA,1987,"lower bound (80% UI)",TRUE,"matdeaths",500
"World",NA,1987,"lower bound (80% UI)",FALSE,"ltr_1per",69.3654351534393
"Southern Asia",NA,1987,"lower bound (80% UI)",FALSE,"ltr_1per",40.8160422907463
"Other",NA,1987,"lower bound (80% UI)",FALSE,"ltr_1per",1978.29696540602
"Northern Africa",NA,1987,"lower bound (80% UI)",FALSE,"ltr_1per",113.824660547172
"Sub-Saharan Africa",NA,1987,"lower bound (80% UI)",FALSE,"ltr_1per",16.5894486821714
"Latin America",NA,1987,"lower bound (80% UI)",FALSE,"ltr_1per",197.078685293385
"Caucasus and Central Asia",NA,1987,"lower bound (80% UI)",FALSE,"ltr_1per",309.125705743379
"Caribbean",NA,1987,"lower bound (80% UI)",FALSE,"ltr_1per",118.549413273961
"Western Asia",NA,1987,"lower bound (80% UI)",FALSE,"ltr_1per",130.971793341062
"South-eastern Asia",NA,1987,"lower bound (80% UI)",FALSE,"ltr_1per",77.1668420833086
"Eastern Asia",NA,1987,"lower bound (80% UI)",FALSE,"ltr_1per",360.839181248356
"Oceania",NA,1987,"lower bound (80% UI)",FALSE,"ltr_1per",78.0090912143366
"World",NA,1987,"lower bound (80% UI)",TRUE,"ltr_1per",69
"Southern Asia",NA,1987,"lower bound (80% UI)",TRUE,"ltr_1per",41
"Other",NA,1987,"lower bound (80% UI)",TRUE,"ltr_1per",2000
"Northern Africa",NA,1987,"lower bound (80% UI)",TRUE,"ltr_1per",110
"Sub-Saharan Africa",NA,1987,"lower bound (80% UI)",TRUE,"ltr_1per",17
"Latin America",NA,1987,"lower bound (80% UI)",TRUE,"ltr_1per",200
"Caucasus and Central Asia",NA,1987,"lower bound (80% UI)",TRUE,"ltr_1per",310
"Caribbean",NA,1987,"lower bound (80% UI)",TRUE,"ltr_1per",120
"Western Asia",NA,1987,"lower bound (80% UI)",TRUE,"ltr_1per",130
"South-eastern Asia",NA,1987,"lower bound (80% UI)",TRUE,"ltr_1per",77
"Eastern Asia",NA,1987,"lower bound (80% UI)",TRUE,"ltr_1per",360
"Oceania",NA,1987,"lower bound (80% UI)",TRUE,"ltr_1per",78
"World",NA,1988,"lower bound (80% UI)",FALSE,"mmr",371.821826813564
"Southern Asia",NA,1988,"lower bound (80% UI)",FALSE,"mmr",480.123087636322
"Other",NA,1988,"lower bound (80% UI)",FALSE,"mmr",25.200820645658
"Northern Africa",NA,1988,"lower bound (80% UI)",FALSE,"mmr",159.133221521857
"Sub-Saharan Africa",NA,1988,"lower bound (80% UI)",FALSE,"mmr",922.401659028399
"Latin America",NA,1988,"lower bound (80% UI)",FALSE,"mmr",126.042295297528
"Caucasus and Central Asia",NA,1988,"lower bound (80% UI)",FALSE,"mmr",73.4979577872471
"Caribbean",NA,1988,"lower bound (80% UI)",FALSE,"mmr",234.512467685371
"Western Asia",NA,1988,"lower bound (80% UI)",FALSE,"mmr",138.909833754764
"South-eastern Asia",NA,1988,"lower bound (80% UI)",FALSE,"mmr",310.076740507835
"Eastern Asia",NA,1988,"lower bound (80% UI)",FALSE,"mmr",85.7675827380768
"Oceania",NA,1988,"lower bound (80% UI)",FALSE,"mmr",256.854029486305
"World",NA,1988,"lower bound (80% UI)",TRUE,"mmr",372
"Southern Asia",NA,1988,"lower bound (80% UI)",TRUE,"mmr",480
"Other",NA,1988,"lower bound (80% UI)",TRUE,"mmr",25
"Northern Africa",NA,1988,"lower bound (80% UI)",TRUE,"mmr",159
"Sub-Saharan Africa",NA,1988,"lower bound (80% UI)",TRUE,"mmr",922
"Latin America",NA,1988,"lower bound (80% UI)",TRUE,"mmr",126
"Caucasus and Central Asia",NA,1988,"lower bound (80% UI)",TRUE,"mmr",73
"Caribbean",NA,1988,"lower bound (80% UI)",TRUE,"mmr",235
"Western Asia",NA,1988,"lower bound (80% UI)",TRUE,"mmr",139
"South-eastern Asia",NA,1988,"lower bound (80% UI)",TRUE,"mmr",310
"Eastern Asia",NA,1988,"lower bound (80% UI)",TRUE,"mmr",86
"Oceania",NA,1988,"lower bound (80% UI)",TRUE,"mmr",257
"World",NA,1988,"lower bound (80% UI)",FALSE,"matdeaths",515361.252240594
"Southern Asia",NA,1988,"lower bound (80% UI)",FALSE,"matdeaths",186906.915134247
"Other",NA,1988,"lower bound (80% UI)",FALSE,"matdeaths",3934.77095683926
"Northern Africa",NA,1988,"lower bound (80% UI)",FALSE,"matdeaths",6161.93591645055
"Sub-Saharan Africa",NA,1988,"lower bound (80% UI)",FALSE,"matdeaths",199720.694768943
"Latin America",NA,1988,"lower bound (80% UI)",FALSE,"matdeaths",13965.9047793865
"Caucasus and Central Asia",NA,1988,"lower bound (80% UI)",FALSE,"matdeaths",1424.21182187943
"Caribbean",NA,1988,"lower bound (80% UI)",FALSE,"matdeaths",1950.37922049763
"Western Asia",NA,1988,"lower bound (80% UI)",FALSE,"matdeaths",5752.18259357287
"South-eastern Asia",NA,1988,"lower bound (80% UI)",FALSE,"matdeaths",37557.3692267172
"Eastern Asia",NA,1988,"lower bound (80% UI)",FALSE,"matdeaths",24221.738827297
"Oceania",NA,1988,"lower bound (80% UI)",FALSE,"matdeaths",496.17777146017
"World",NA,1988,"lower bound (80% UI)",TRUE,"matdeaths",515000
"Southern Asia",NA,1988,"lower bound (80% UI)",TRUE,"matdeaths",187000
"Other",NA,1988,"lower bound (80% UI)",TRUE,"matdeaths",3900
"Northern Africa",NA,1988,"lower bound (80% UI)",TRUE,"matdeaths",6200
"Sub-Saharan Africa",NA,1988,"lower bound (80% UI)",TRUE,"matdeaths",2e+05
"Latin America",NA,1988,"lower bound (80% UI)",TRUE,"matdeaths",14000
"Caucasus and Central Asia",NA,1988,"lower bound (80% UI)",TRUE,"matdeaths",1400
"Caribbean",NA,1988,"lower bound (80% UI)",TRUE,"matdeaths",2000
"Western Asia",NA,1988,"lower bound (80% UI)",TRUE,"matdeaths",5800
"South-eastern Asia",NA,1988,"lower bound (80% UI)",TRUE,"matdeaths",38000
"Eastern Asia",NA,1988,"lower bound (80% UI)",TRUE,"matdeaths",24000
"Oceania",NA,1988,"lower bound (80% UI)",TRUE,"matdeaths",500
"World",NA,1988,"lower bound (80% UI)",FALSE,"ltr_1per",72.2225221385915
"Southern Asia",NA,1988,"lower bound (80% UI)",FALSE,"ltr_1per",42.7473845821058
"Other",NA,1988,"lower bound (80% UI)",FALSE,"ltr_1per",2103.58553485034
"Northern Africa",NA,1988,"lower bound (80% UI)",FALSE,"ltr_1per",124.432692035243
"Sub-Saharan Africa",NA,1988,"lower bound (80% UI)",FALSE,"ltr_1per",17.0065965872519
"Latin America",NA,1988,"lower bound (80% UI)",FALSE,"ltr_1per",207.728486625476
"Caucasus and Central Asia",NA,1988,"lower bound (80% UI)",FALSE,"ltr_1per",321.989075331578
"Caribbean",NA,1988,"lower bound (80% UI)",FALSE,"ltr_1per",123.477945765866
"Western Asia",NA,1988,"lower bound (80% UI)",FALSE,"ltr_1per",139.892442109497
"South-eastern Asia",NA,1988,"lower bound (80% UI)",FALSE,"ltr_1per",84.6090792102116
"Eastern Asia",NA,1988,"lower bound (80% UI)",FALSE,"ltr_1per",381.801004887851
"Oceania",NA,1988,"lower bound (80% UI)",FALSE,"ltr_1per",80.1548749178169
"World",NA,1988,"lower bound (80% UI)",TRUE,"ltr_1per",72
"Southern Asia",NA,1988,"lower bound (80% UI)",TRUE,"ltr_1per",43
"Other",NA,1988,"lower bound (80% UI)",TRUE,"ltr_1per",2100
"Northern Africa",NA,1988,"lower bound (80% UI)",TRUE,"ltr_1per",120
"Sub-Saharan Africa",NA,1988,"lower bound (80% UI)",TRUE,"ltr_1per",17
"Latin America",NA,1988,"lower bound (80% UI)",TRUE,"ltr_1per",210
"Caucasus and Central Asia",NA,1988,"lower bound (80% UI)",TRUE,"ltr_1per",320
"Caribbean",NA,1988,"lower bound (80% UI)",TRUE,"ltr_1per",120
"Western Asia",NA,1988,"lower bound (80% UI)",TRUE,"ltr_1per",140
"South-eastern Asia",NA,1988,"lower bound (80% UI)",TRUE,"ltr_1per",85
"Eastern Asia",NA,1988,"lower bound (80% UI)",TRUE,"ltr_1per",380
"Oceania",NA,1988,"lower bound (80% UI)",TRUE,"ltr_1per",80
"World",NA,1989,"lower bound (80% UI)",FALSE,"mmr",364.977805899859
"Southern Asia",NA,1989,"lower bound (80% UI)",FALSE,"mmr",467.952510755704
"Other",NA,1989,"lower bound (80% UI)",FALSE,"mmr",23.8537822945815
"Northern Africa",NA,1989,"lower bound (80% UI)",FALSE,"mmr",151.358230400213
"Sub-Saharan Africa",NA,1989,"lower bound (80% UI)",FALSE,"mmr",910.152933595167
"Latin America",NA,1989,"lower bound (80% UI)",FALSE,"mmr",122.682930779401
"Caucasus and Central Asia",NA,1989,"lower bound (80% UI)",FALSE,"mmr",69.7841969634165
"Caribbean",NA,1989,"lower bound (80% UI)",FALSE,"mmr",223.041761420439
"Western Asia",NA,1989,"lower bound (80% UI)",FALSE,"mmr",134.475327887138
"South-eastern Asia",NA,1989,"lower bound (80% UI)",FALSE,"mmr",292.470871936348
"Eastern Asia",NA,1989,"lower bound (80% UI)",FALSE,"mmr",82.5734202839748
"Oceania",NA,1989,"lower bound (80% UI)",FALSE,"mmr",251.430915297206
"World",NA,1989,"lower bound (80% UI)",TRUE,"mmr",365
"Southern Asia",NA,1989,"lower bound (80% UI)",TRUE,"mmr",468
"Other",NA,1989,"lower bound (80% UI)",TRUE,"mmr",24
"Northern Africa",NA,1989,"lower bound (80% UI)",TRUE,"mmr",151
"Sub-Saharan Africa",NA,1989,"lower bound (80% UI)",TRUE,"mmr",910
"Latin America",NA,1989,"lower bound (80% UI)",TRUE,"mmr",123
